brand,year,month,country,model,segment,engine_type,price_usd,marketing_spend_usd,dealership_count,fuel_price_usd,gdp_growth_percent,interest_rate_percent,competition_index,units_sold
Audi,2021,4,Germany,Q7,SUV,Electric,49606,289181,56.0,2.0,2.2,2.9,9,930
Mercedes-Benz,2024,10,UK,EQS,Electric,Diesel,117269,349739,50.0,1.85,1.35,4.93,7,199
Porsche,2023,3,Canada,Macan,SUV,Petrol,99252,104583,19.0,1.32,1.77,4.07,5,42
Porsche,2020,11,,Macan,SUV,Electric,145804,131754,4.0,1.76,1.22,3.73,9,101
Audi,2020,8,Germany,RS6,Sedan,Electric,74036,486090,15.0,1.87,2.24,2.96,3,521
Porsche,2022,10,Japan,Panamera,sedan,Petrol,173012,241940,12.0,1.5,1.07,0.32,6,439
Porsche,2021,7,Germany,Taycan,Electric,Petrol,63206,225823,11.0,1.93,1.86,3.09,3,315
Mercedes-Benz,2023,9,Canada,C-Class,Sedan,Diesel,84614,318053,18.0,1.25,1.89,4.03,7,923
Tesla,2016,4,Japan,Model Y,Electric,Electric,81232,178171,28.0,1.53,1.44,-0.12,3,-185
Porsche,2024,2,Japan,Cayenne Coupe,SUV,Petrol,122877,374033,2.0,1.47,1.18,0.18,4,494
Porsche,2016,3,Spain,911,Sedan,Electric,106614,182057,4.0,1.77,1.49,3.57,2,441
Mercedes-Benz,2022,2,Netherlands,E-Class,Sedan,Hybrid,37529,570401,23.0,1.91,1.71,3.7,8,586
Ford,2032,9,Australia,Mustang,Sedan,Hybrid,92475,469888,99.0,,3.16,4.49,5,3103
BMW,2020,11,Canada,i4,Electric,Petrol,66186,83635,395.0,1.2526225139821685,1.7361603805247623,3.881877013567197,8,905
Toyota,2024,6,Spain,bZ4X,Electric,Hybrid,52519,79607,65.0,1.66,1.0,3.68,8,1765
Toyota,2022,10,Australia,Supra,Sedan,PETROL,26942,662911,40.0,1.67,3.02,4.08,5,2153
Mercedes-Benz,2023,7,Brazil,A-Class,Sedan,Diesel,126332,546802,21.0,1.19,4.0,10.35,4,1048
BMW,2022,6,USA,3 Series,Sedan,Hybrid,110986,296060,310.0,1.0489654700855298,2.7751328233611146,4.763699364938513,8,644
Mercedes-Benz,2016,9,Germany,CLA,Sedan,Diesel,35188,,39.0,1.89,1.9,3.19,4,1160
Toyota,2022,1,,C-HR,SUV,Electric,85107,487829,84.0,1.01,7.04,6.78,2,849
Ford,2016,2,Canada,Bronco,SUV,ELECTRIC,58382,396113,31.0,1.26,1.73,4.18,1,1189
Porsche,2016,3,Netherlands,911,Sedan,Electric,123778,202467,28.0,1.99,2.25,3.32,3,486
Audi,2020,9,Spain,Q5,SUV,Petrol,96068,363129,29.0,1.82,1.04,3.65,4,939
Volkswagen,2024,5,Canada,ID.4,Electric,Diesel,61525,140915,53.0,1.27,2.63,3.74,2,1745
Tesla,2017,3,Netherlands,Model 3,Electric,Electric,62357,252925,24.0,2.05,2.47,3.68,2,591
Audi,2015,10,USA,TT,Sedan,Diesel,56706,287102,5.0,1.03,2.32,4.71,9,950
Volkswagen,2022,5,Brazil,T-Roc,SUV,Hybrid,50285,55160,74.0,1.13,3.08,10.31,7,1356
Mercedes-Benz,2017,12,Australia,A-Class,Sedan,Electric,75503,513157,14.0,1.51,2.95,4.09,8,51
Audi,2018,8,Mexico,RS6,Sedan,Petrol,34785,294061,,1.08,2.1,10.97,8,1016
Audi,2015,11,USA,Q5,SUV,Hybrid,113042,174809,42.0,0.91,2.33,4.47,6,187
Tesla,2015,12,India,Model 3 LR,Electric,Electric,79431,213044,25.0,1.13,7.12,6.53,6,319
Toyota,2021,1,China,Yaris,Sedan,Electric,39125,462178,47.0,1.09,5.92,3.29,6,1804
Toyota,2019,9,China,Yaris,Sedan,Petrol,65636,637296,26.0,1.19,,3.39,3,1475
BMW,2021,4,Japan,X3,SUV,Petrol,112713,139044,100.0,1.5821854368987684,1.3847311725538791,-0.1024298363930652,6,527
Audi,2015,4,Mexico,Q7,SUV,Petrol,92200,301819,36.0,1.0,1.9,10.93,1,1079
Ford,2018,9,India,Edge,SUV,Hybrd,66848,149759,55.0,1.15,7.4,6.43,8,2878
Ford,2017,9,UK,F-150,SUV,Hybrid,65923,310380,119.0,1.8,1.85,4.84,4,602
Toyota,2018,3,Italy,Corolla,Sedan,Electric,51125,215091,50.0,1.94,1.26,3.51,10,2318
Volkswagen,2017,12,Brazil,ID.4,Electric,Petrol,35835,465092,65.0,1.2,3.7,10.57,2,1665
Toyota,2018,4,Australia,RAV4,SUV,Electric,61865,405651,68.0,1.7,3.35,4.54,10,2691
Volkswagen,2020,10,Brazil,ID.3,Electric,Hybrid,43911,180247,52.0,1.21,3.33,10.73,4,212
Ford,2020,4,Netherlands,F-150,SUV,Hybrid,51840,735942,31.0,1.97,2.17,3.31,4,1942
Toyota,2016,11,France,Highlander,SUV,Petrol,46119,456920,95.0,1.77,1.22,3.22,4,552
Toyota,2021,4,Australia,Highlander,SUV,Electric,40409,378356,19.0,1.55,2.93,4.4,9,259
Toyota,2019,10,Canada,Corolla,Sedan,Electric,26534,210626,90.0,1.22,1.84,3.93,4,1473
BMW,2019,9,UK,X1,SUV,Electric,,346956,395.0,1.7783943979521988,1.100637478523533,4.843924467653567,3,1088
Audi,2021,6,Japan,Q7,SUV,Electric,56657,266143,14.0,1.56,1.42,-0.04,3,149
Porsche,2020,12,Japan,Cayenne Coupe,SUV,Electric,132418,263512,23.0,1.54,,-0.16,7,381
Volkswagen,2023,8,Netherlands,ID.3,Electric,Electric,28197,218632,76.0,2.01,1.73,3.38,1,198
Porsche,2018,6,Mexico,Panamera Sport,Sedan,Petrol,97309,134312,9.0,1.02,2.39,10.83,5,483
Ford,2019,5,Germany,F-150 Lightning,Electric,,22343,564425,,1.87,1.83,3.04,8,3872
Tesla,2021,11,UK,Cybertruck,Electric,Electric,40705,16268,35.0,1.88,2.0,4.8,1,283
Ford,2015,9,USA,Edge,SUV,Petrol,88852,284748,119.0,0.96,2.69,4.21,5,3083
Audi,2021,12,China,Q5,SUV,Electric,77171,525522,37.0,1.19,6.15,3.7,5,983
Tesla,2020,4,Mexico,Model S Plaid,Electric,Electric,81113,286770,6.0,1.06,2.16,10.96,3,1132
Tesla,2024,10,Mexico,Model Y LR,Electric,Electric,53509,177329,26.0,1.02,1.54,10.73,10,1328
Audi,2020,3,Netherlands,Q3,SUV,Petrol,44232,215665,26.0,2.02,2.37,3.33,4,973
Porshe,2024,5,Japan,Cayenne Coupe,SUV,Hybrid,92470,216636,24.0,1.6,0.72,0.09,1,178
Tesla,2016,10,Germany,Model S,Electric,Electric,62653,275574,27.0,1.89,1.75,3.26,8,2301
Audi,2021,4,UK,Q3,SUV,Electric,57893,503447,35.0,1.77,1.89,5.3,8,271
Volkswagen,2024,10,Italy,Taos,SUV,Electric,70072,377615,27.0,1.76,1.08,3.5,3,2523
Volkswagen,2017,7,Brazil,ID.3,Electric,Petrol,,204139,55.0,1.13,3.18,10.3,4,2364
Audi,2017,8,Canada,A3,Sedan,HYBRID,62518,442087,12.0,1.35,2.1,4.21,8,75
Tesla,2023,8,Canada,Model X,Electric,Electric,58764,87304,7.0,1.23,2.32,4.1,2,169
Tesla,2015,8,Netherlands,Model 3,Electric,Electric,6704072,105807,11.0,,1.96,3.52,2,
Audi,2015,11,Netherlands,e-tron,Electrc,Diesel,92916,511036,17.0,2.09,1.75,3.61,8,437
Volkswagen,2024,5,Netherlands,ID.3,Electric,Hybrid,29336,514776,,1.93,2.48,3.47,3,347
Volkswagen,2015,5,Brazil,Arteon,Sedan,Diesel,22519,557380,78.0,1.26,3.59,10.56,9,576
Porsche,2015,7,India,718,Sedan,Petrol,139811,140773,29.0,0.99,6.97,6.35,9,443
Volkswagen,2024,10,USA,Golf,sedan,Hybrid,31411,80896,53.0,0.93,2.9,4.53,5,2308
Toyota,2024,5,Italy,bZ4X,Electric,Petrol,36035,430026,58.0,1.79,1.23,3.7,5,2541
Ford,2021,6,Italy,Escape,SUV,Electric,66296,122471,101.0,1.85,1.16,3.8,3,1413
Volkswagen,2018,10,Germany,Golf,Sedan,Petrol,73582,174509,38.0,1.88,2.03,3.21,4,269
Audi,2016,1,Canada,Q3,SUV,Electric,70107,,5.0,1.3,1.77,4.14,1,85
Ford,2020,7,France,F-150 Lightning,Electric,Electric,61793,376216,92.0,1.73,1.97,3.64,2,2606
Volkswagen,2022,9,India,T-Roc,SUV,Petrol,4668325,226792,88.0,1.06,6.76,6.74,3,1102
Volkswagen,2021,3,Australia,T-Roc,SUV,Electric,37026,457766,57.0,1.62,3.48,4.5,2,2219
Ford,2024,7,Canada,Edge,SUV,Petrol,79768,193393,65.0,1.36,2.39,4.17,2,3081
Porsche,2015,2,USA,GTS,Sedan,Electric,124171,203263,12.0,0.95,2.4,4.57,7,327
Porsche,2024,1,Germany,GTS,Sedan,Petrol,146178,345773,24.0,1.82,1.69,3.03,8,466
Mercedes-Benz,2018,9,Japan,E-Class,Sedan,Electric,8610912,,9.0,1.47,1.23,0.03,10,904
BMW,2021,2,Japan,iX,Sedan,Diesel,63307,74099,78.0,1.5087076434685291,0.7676683619000015,0.2247010583378612,4,221
Ford,2015,4,Australia,Edge,SUV,Hybrid,36792,618266,95.0,1.52,2.87,3.96,8,2339
Mercedes-Benz,2018,9,France,E-Class,Sedan,Petrol,115253,258535,40.0,1.71,1.75,3.78,7,664
Mercedes-Benz,2018,3,,EQE,Electric,Hybrid,7984882,529906,13.0,1.89,1.18,5.28,7,182
Toyota,2021,11,USA,Prius,Hybrid,Hybrid,65908,390664,14.0,1.07,2.79,4.29,7,2860
AUDI,2018,5,USA,e-tron,Electric,Diesel,54056,101941,22.0,0.94,2.19,4.65,10,61
Porsche,2017,10,Netherlands,Cayenne Coupe,,Hybrid,137604,235451,,1.94,1.71,3.76,5,126
Audi,2023,9,Brazil,Q3,SUV,Electric,32965,533121,,1.15,3.13,10.44,7,961
Ford,2016,7,Australia,F-150,SUV,Electric,35030,530429,33.0,1.51,3.12,4.34,2,548
Audi,2024,1,India,TT,Sedan,Diesel,107592,409259,51.0,1.07,,6.57,7,395
PORSCHE,2015,10,China,Taycan,Electric,Hybrid,72534,276982,11.0,1.01,5.71,3.58,3,
Audi,2016,8,France,A6,Sedan,Electric,80903,412352,45.0,1.83,1.54,3.31,1,195
Tesla,2022,2,Netherlands,Model Y,Electric,Electric,115778,170475,29.0,2.08,2.35,3.41,2,777
Tesla,2017,2,Mexico,Cybertruck,Electric,Electric,129765,212298,31.0,1.14,2.41,11.03,7,1010
Ford,2022,7,Germany,Edge,SUV,Petrol,75141,629539,93.0,1.96,1.46,3.05,4,1775
Volkswagen,2017,1,Canada,Taos,SUV,Petrol,37138,81630,39.0,1.33,2.55,4.26,4,449
Mercedes-Benz,2020,7,India,S-Class,Sedan,Hybrid,105645,488847,17.0,1.09,7.0,6.75,3,1247
BMW,2016,4,Australia,7 Series,Sedan,Petrol,85210,286824,309.0,1.515715699431004,2.850626931209181,3.96992186527482,1,865
Ford,2016,9,Brazil,F-150,SUV,Electric,34054,500477,53.0,1.28,3.57,10.24,6,2062
Mercedes-Benz,2016,1,UK,GLE,SUV,Diesel,78368,387184,30.0,1.9,1.78,4.71,3,54
BMW,2024,8,UK,X1,Sedan,Diesel,97766,193029,111.0,1.9261741518397857,1.7527166395576412,4.795163063175845,5,499
Volkswagen,2019,1,USA,T-Roc,SUV,HYBRID,51091,70440,85.0,0.95,2.91,4.69,7,
Volkswagen,2015,2,Germany,Touareg,SUV,Diesel,74500,260437,65.0,1.94,1.98,2.74,1,426
Porsche,2024,2,Brazil,Cayenne Coupe,SUV,Hybrid,195685,334583,2.0,1.17,3.47,10.42,5,437
Ford,2022,5,,Edge,SUV,Petrol,57606,599223,68.0,1.84,1.46,4.71,5,3881
Porsche,2015,7,Japan,Panamera,Sedan,Electric,114903,185365,22.0,1.49,1.56,0.07,10,17
Audi,2019,11,Canada,A4,Sedan,Diesel,63873,363513,27.0,1.22,2.26,3.85,4,481
Tesla,2024,12,India,Model X,Electric,Electric,114565,138855,7.0,0.99,6.77,6.68,8,2388
Porsche,2022,1,Canada,Taycan,Electric,,76594,372732,3.0,1.37,2.63,3.76,2,54
Mercedes-Benz,2016,9,,EQE,Electrc,Petrol,118281,191434,38.0,1.05,2.67,4.39,4,69
BMW,2015,10,China,7 Series,Sedan,Petrol,115846,164919,25.0,1.0103647073644857,5.981140101854818,3.519553659530952,5,359
Audi,2019,1,Netherlands,e-tron,Electric,,58657,264470,57.0,1.96,2.14,3.26,8,203
Volkswagen,2019,4,Mexico,Tiguan,SUV,Petrol,22633,115495,42.0,1.19,1.68,10.77,2,961
Ford,2021,1,France,Mustang Mach-E,Electric,Petrol,28112,403278,54.0,1.79,1.96,3.61,2,70
Toyota,2016,10,GERMANY,RAV4,SUV,Petrol,28671,325924,77.0,1.87,1.46,2.85,7,1403
Toyota,2018,2,China,RAV4,SUV,Electric,23846,627227,62.0,1.13,5.65,3.8,2,2854
BMW,2023,6,Germany,5 Series,Electric,Electric,46962,,26.0,1.877896378980484,1.5884054378187458,3.276681291244556,6,396
Volkswagen,2021,5,Japan,T-Roc,SUV,Diesel,36416,456133,33.0,1.56,0.9,-0.06,9,2029
AUDI,2015,12,Mexico,e-tron,Electric,Hybrid,35111,509312,11.0,1.01,1.77,10.74,7,670
Mercedes-Benz,2020,12,USA,EQE,Electrc,Petrol,35365,373969,37.0,1.02,2.43,4.59,4,300
Toyota,2024,1,Canada,Land Cruiser,SUV,Electric,87520,263679,68.0,1.32,2.46,4.22,8,1708
Audo,2021,8,Australlia,TT,Sedan,Petrol,51764,264809,4.0,1.57,2.65,4.47,5,1057
Toyota,2016,12,Brazil,C-HR,SUV,Petrol,64400,159288,33.0,1.18,3.33,10.54,5,2669
Mercedes-Benz,2021,9,Italy,A-Class,Sedan,Diesel,51832,130446,63.0,1.86,1.39,3.73,7,1131
Volkswagen,2020,7,France,Arteon,Sedan,Petrol,77741,449316,12.0,1.87,1.58,3.8,6,104
BMW,2017,2,France,X3,Sedan,Electric,35390,451954,360.0,1.7081457604637942,1.2160726405069164,3.227601585213052,2,1007
Mercedes-Benz,2022,7,Italy,CLA,Sedan,Diesel,50288,523958,29.0,1.92,0.67,3.43,2,530
Mercedes-Benz,2016,10,Germany,CLA,Sedan,Petrol,37768,76770,38.0,1.81,1.84,3.2,2,995
Ford,2015,6,Canada,Mustang,Sedan,Electric,71569,373585,94.0,1.37,1.87,4.22,7,3753
TESLA,2024,11,India,Model Y LR,Electric,Electric,116258,41221,23.0,1.04,7.25,6.55,3,1824
BMW,2015,8,Japan,X7,Sedan,Diesel,96861,465685,81.0,1.5951704158925069,1.3374299014982065,0.2356548002335969,3,451
BMW,2016,2,Australia,X7,SUV,Hybrid,44190,495527,252.0,1.6476067232852742,2.546965966775055,4.049770021253647,6,632
Volkswagen,2022,11,Canada,Tiguan,SUV,Diesel,56411,474401,10.0,1.36,2.69,3.86,3,752
Ford,2015,4,France,Bronco,SUV,Hybrid,37183,175157,52.0,1.71,1.28,3.27,5,3172
BMW,2019,1,India,5 Series,Sedan,Hybrid,46516,395876,183.0,1.051672109383256,7.0422372054918485,6.554208614275264,10,496
Tesla,2022,2,India,Model 3 LR,Electric,Electric,97635,49960,9.0,1.06,7.2,6.31,3,2254
Porsche,2020,1,UK,GTS,Sedan,Electric,,397754,14.0,1.93,1.39,4.91,9,499
Toyota,2016,2,Mexico,Yaris,Sedan,Hybrid,52783,225434,74.0,1.15,1.5,11.11,7,2663
Tesla,2023,10,Japan,Model S,Electric,Electric,79512,288127,24.0,1.47,1.39,-0.08,5,555
Mercedes-Benz,2015,10,USA,EQS,Electric,Hybrid,97652,103257,,0.95,2.18,4.32,1,
Audi,2019,12,Australia,Q3,SUV,diesel,74882,166403,26.0,1.54,3.03,4.15,4,1054
Toyota,2020,2,Canada,RAV4,SUV,Electric,57286,259298,95.0,1.28,2.68,4.12,3,2543
Toyota,2024,12,India,RAV4,SUV,Hybrid,73512,577184,56.0,1.09,6.83,6.29,2,2739
BMW,2024,3,Germany,X1,SUV,Hybrid,79306,317956,220.0,1.9613122295722896,2.1729458358764084,3.139334931845737,9,525
Audi,2020,10,Australia,TT,Sedan,Hybrid,101095,189061,27.0,1.5,2.5,4.06,2,299
Ford,2018,8,France,Explorer,SUV,Hybrid,51401,599640,64.0,1.88,1.94,3.22,9,2531
Ford,2022,5,France,Mustang Mach-E,Electric,Electric,54344,162020,99.0,1.88,1.98,3.24,9,2479
Ford,2021,10,Germany,Edge,SUV,Hybrid,23335,650087,83.0,1.88,2.11,3.26,1,2618
Tesla,2024,6,Netherlands,Model 3 LR,Electric,Electric,55774,92607,36.0,1.92,1.77,3.49,7,483
Toyota,2016,5,Netherlands,Yaris,Sedaan,Hybrid,,230916,71.0,2.04,1.83,3.38,10,677
BMW,2015,5,India,3 Series,Suv,Petrol,82645,369248,322.0,1.015038012844939,6.758133432701127,6.594041998724776,5,827
Toyota,2024,11,Spain,RAV4,SUV,Petrol,42760,597859,17.0,1.71,1.28,3.7,3,2580
Mercedes-Benz,2024,10,Brazil,E-Class,Sedan,Electric,124089,403642,24.0,1.14,3.19,10.62,9,364
BMW,2019,12,Brazil,X3,Electric,Diesel,70693,418946,20.0,,3.822103160600226,10.428252004504538,10,429
BMW,2022,5,India,3 Series,Sedan,Petrol,42130,487480,11.0,0.989934756431672,6.956069984217036,6.671105576835808,4,435
BMW,2022,3,Japan,X3,SUV,Electric,76203,239826,245.0,1.4170694929987535,0.9158210274968432,0.1737342854914001,6,none
Tesla,2021,6,Netherlands,Cybertruck,Electric,Electric,83265,291931,32.0,2.04,1.98,3.76,3,1021
Porsche,2020,2,Canada,Macan EV,Electric,Hybrid,86398,109153,4.0,1.23,1.73,3.87,3,385
Audi,2017,3,Germany,Q7,SUV,Petrol,97785,299579,50.0,1.88,1.71,2.76,6,663
Tesla,2020,5,France,Model 3 LR,Electric,Electric,84361,184637,2.0,1.83,1.82,3.32,9,111
Toyota,2016,6,Mexico,Camry,Sedan,Hybrid,47465,227074,18.0,1.13,2.45,11.04,4,1463
Porsche,2024,7,Netherlands,911,Sedan,Hybrid,109134,189228,29.0,2.02,2.11,3.55,10,360
BMW,2017,9,Germany,i7,SUV,Diesel,105411,469543,62.0,1.898759119272878,1.861277197569496,3.1625803079727364,8,179
Audi,2016,4,Italy,Q8,SUV,Diesel,60633,386624,17.0,1.89,1.21,3.51,6,307
Porsche,2015,2,France,911,Sedan,Hybrid,75416,120433,7.0,1.86,1.38,3.77,5,397
Ford,2024,4,Mexico,Ranger,SUV,Petrol,83781,65396,56.0,1.2,2.38,10.86,5,1474
Tesla,2018,5,India,Model S Plaid,Electric,Electric,108975,129489,16.0,1.01,6.95,6.76,3,2417
Toyota,2020,10,Australia,Highlander,SUV,Petrol,46270,146797,49.0,1.53,3.28,4.09,5,2327
BMW,2020,2,USA,5 Series,SUV,Electric,54773,,251.0,0.982459363175582,2.465205612283718,4.236085405560472,2,982
Tesla,2019,8,USA,Model X,Electric,Electric,76203,220544,4.0,0.93,2.11,4.75,5,1896
Toyota,2021,4,Italy,Yaris,Sedan,Hybrid,23323,357251,36.0,1.82,1.16,3.33,4,1280
Volkswagen,2023,4,Spain,T-Roc,SUV,Electric,60954,50831,33.0,1.75,1.13,3.62,5,1466
Audi,2018,3,India,Q3,SUV,Hybrid,112965,123560,22.0,0.96,6.57,6.29,5,395
Ford,2020,11,Italy,Bronco,SUV,Hybrid,24235,572493,50.0,1.79,1.41,3.43,7,3630
Volkswagen,2016,5,Italy,Passat,Sedan,Hybrid,73138,398895,70.0,1.79,0.52,3.62,1,1819
Ford,2016,8,Australia,Edge,SUV,Electric,94469,514377,42.0,1.67,2.65,4.23,6,3400
Porsche,2018,5,Spain,Macan,SUV,Petrol,67315,376838,2.0,1.78,1.25,3.26,10,469
Toyota,2018,10,France,  C-HR  ,SUV,Electric,83990,262528,49.0,1.88,1.46,3.49,8,2703
Ford,2023,1,USA,Ranger,SUV,Petrol,60988,356616,108.0,0.97,2.61,4.79,4,2019
Tesla,2020,1,Spain,Semi,,Electric,103564,,19.0,1.67,1.36,3.38,6,1441
Tesla,2019,5,Netherlands,Cybertruck,Electric,Electric,114677,,11.0,1.92,1.84,3.61,10,1890
Audi,2019,10,,Q8,SUV,Hybrid,55457,388343,4.0,2.01,1.87,3.39,5,911
Mercedes-Benz,2021,10,Netherlands,E-Class,Sedan,Petrol,126155,84077,13.0,2.03,2.17,3.76,1,37
Porsche,2021,1,USA,Macan,SUV,,118096,117974,9.0,1.0,2.87,4.78,3,255
Audi,2019,4,Canada,RS6,Sedan,Diesel,111174,192888,27.0,,,4.07,5,1080
Tesla,2024,9,Netherlands,Semi,Electric,Electric,121033,72131,27.0,1.9,2.34,3.5,4,1854
Ford,2017,8,australia,Mustang,Sedan,Hybrid,87557,167924,101.0,1.59,2.98,4.25,6,726
Mercedes-Benz,2017,11,Mexico,EQS,Electric,Electric,95809,583229,47.0,1.11,2.02,10.77,5,1203
Tesla,2018,10,India,Model S,Electric,Electric,85068,90513,39.0,1.05,7.24,6.62,5,1247
Ford,2019,3,India,Explorer,SUV,Electric,82805,516127,20.0,0.98,6.68,6.32,6,123
Porsche,2023,12,Frnce,911,Sedan,Petrol,,350255,26.0,1.89,1.18,3.78,9,369
Tesla,2019,3,Mexico,Model X,,Electric,95843,159223,12.0,1.03,2.41,10.7,3,1620
BMW,2020,2,Australia,i7,Electric,Diesel,85906,135936,381.0,1.6549307062362364,2.796535581287656,4.15982193784751,5,802
Mercedes-Benz,2018,2,India,A-Class,Sedan,Diesel,96428,423006,5.0,1.08,7.38,6.74,5,1280
Ford,2020,6,UK,Ranger,SUV,Hybrid,69127,499595,30.0,1.76,1.99,4.96,3,1227
Porsche,2017,4,China,Cayenne,SUV,Petrol,198054,319683,24.0,1.05,5.98,3.77,3,57
Audi,2018,11,Germany,Q7,SUV,Hybrd,107586,529598,45.0,1.8,1.53,2.82,7,1088
Mercedes-Benz,2016,4,USA,A-Class,Sedan,Petrol,68848,310688,48.0,0.91,2.71,4.21,3,
Toyota,2024,4,Netherlands,Land Cruiser,SUV,Electric,50581,442855,84.0,1.99,2.3,3.67,3,582
Audi,2017,4,Italy,A6,Sedan,Electric,103210,390639,19.0,1.88,1.21,3.64,9,681
Mercedes-Benz,2016,7,Mexico,EQS,Electric,Hybrid,39796,90577,12.0,1.17,2.43,11.0,2,763
Audi,2024,2,Japan,TT,Sedan,Electric,80021,172550,18.0,1.56,1.12,-0.03,7,598
BMW,2017,11,Japan,X3,Sedan,,81751,211297,118.0,1.431230519473238,1.1087341710980962,-0.184768186603793,7,355
Porsche,2024,7,Netherlands,911,Sedan,Electric,75315,307499,21.0,2.01,2.34,3.53,3,159
Toyota,2016,5,Germany,Prius,Hybrid,Petrol,24878,168041,86.0,1.97,1.93,2.81,6,1734
Mercedes-Benz,2023,6,Canada,GLE,SUV,Hybrid,59140,191066,64.0,1.23,2.28,4.26,8,272
Tesla,2024,7,UK,Cybertruck,Electric,Electric,75204,115864,12.0,1.86,1.27,4.89,8,241
Porsche,2022,8,India,Macan,SUV,Petrol,101930,131398,3.0,1.09,6.59,6.61,6,289
Tesla,2024,2,Australlia,Model 3,Electric,Electric,99334,132768,5.0,1.56,2.71,4.26,7,1695
BMW,2019,4,China,i4,Electric,Electric,77543,446659,182.0,1.1510083857492557,6.418926533639555,3.351344612104017,7,797
Volkswagen,2019,2,Japan,Passat,Sedan,Hybrid,53892,581320,68.0,1.54,0.84,0.09,4,989
Tesla,2017,11,Germany,Semi,Electric,Electric,105603,71226,19.0,1.96,1.85,3.26,10,2451
BMW,2018,12,France,iX,Electric,Petrol,118255,245889,335.0,1.8318707844411568,1.5614774646247342,3.582320886084968,6,1069
Mercedes-Benz,2018,11,India,CLA,Sedan,Electric,57049,561007,60.0,1.05,7.27,6.25,6,942
Tesla,2019,8,Germany,Model X,Electric,Electric,56537,30458,15.0,1.91,1.86,3.06,8,1325
Toyota,2017,7,UK,Yaris,Sedan,Hybrid,,234341,57.0,1.86,1.07,4.75,4,2528
Volkswagen,2021,3,Brazil,Golf,Sedan,Diesel,55137,322497,53.0,1.18,3.85,10.61,10,1406
Ford,2021,2,Netherlands,F-150 Lightning,Electric,Hybrid,80664,708127,89.0,2.0,2.56,3.54,6,1964
Toyota,2015,9,Canada,Camry,Sedan,Electric,72656,616002,35.0,1.26,1.95,3.76,6,330
Toyota,2023,11,Australia,Supra,Sedan,Petrol,53930,554549,50.0,1.59,2.79,4.01,3,2950
Ford,2024,10,Germany,Explorer,SUV,Petrol,42858,731733,55.0,1.91,2.28,3.17,5,
Volkswagen,2024,4,China,Passat,Sedan,Hybrid,34309,95964,16.0,1.09,5.9,3.74,4,1693
Tesla,2016,3,India,Model S,Electric,Electric,122333,111193,22.0,1.14,7.48,6.39,7,1560
Volkswagen,2023,8,Germany,Arteon,Sedan,Diesel,77586,572317,8.0,1.98,1.35,3.21,7,972
Tesla,2020,12,India,Model Y LR,Electric,Electric,118157,261614,22.0,1.12,7.35,6.77,9,2279
Porsche,2015,4,Italy,911,Sedan,Hybrid,143952,133938,2.0,1.81,1.43,3.76,4,149
Volkswagen,2019,10,India,Golf,Sedan,Petrol,43009,561806,25.0,1.11,7.34,6.63,5,429
Mercedes-Benz,2021,8,Germany,E-Class,Sedan,Diesel,88215,557216,63.0,1.93,1.76,3.27,9,711
Volkswagen,2020,4,France,ID.3,Electric,Electric,36542,129210,84.0,1.85,,3.32,4,528
Tesla,2015,10,India,Semi,Electric,Electric,94525,246943,14.0,1.07,7.06,6.24,1,1644
Mercedes-Benz,2016,4,Spain,EQS,Electric,Hybrid,38040,524263,32.0,1.83,1.04,3.49,9,355
Porsche,2020,7,Netherlands,Panamera,Sedan,Petrol,63990,397948,10.0,1.95,2.05,3.6,4,438
Toyota,2018,8,USA,Camry,Sedan,Electric,74699,88788,46.0,1.01,2.79,4.45,1,1045
Toyota,2020,11,China,C-HR,SUV,Petrol,54849,41664,43.0,1.09,5.92,3.67,2,379
Toyota,2018,8,India,Yaris,Sedan,Petrol,80576,65705,23.0,0.95,6.85,6.71,4,1001
Audi,2022,7,Germany,Q5,SUV,Diesel,45109,502561,16.0,1.8,2.15,2.98,6,362
Tesla,2015,6,Spain,Model S,Electric,Electric,122277,85008,29.0,,1.56,3.28,4,179
Mercedes-Benz,2016,9,China,EQS,Electric,Hybrid,85076,551829,55.0,1.11,5.59,3.55,3,183
Porsche,2023,4,UK,GTS,Sedan,Electric,77493,88229,18.0,1.81,1.44,4.87,4,
Toyota,2023,12,India,Supra,Sedan,Electric,43813,407865,47.0,0.96,6.57,6.34,9,548
Porsche,2016,7,UK,911,Sedan,Hybrid,91938,121703,,1.83,1.26,5.03,1,460
Toyota,2021,7,Spain,Prius,Hybrid,Petrol,65759,108475,34.0,1.68,0.94,3.46,7,66
Volkswagen,2016,1,India,Tiguan,SUV,Diesel,36067,,,0.99,6.87,6.58,10,1249
B M W,2024,4,USA,X5,Sedan,Hybrid,69924,395932,205.0,0.9383744332077372,2.5412665786761104,4.777795202315397,9,667
Tesla,2015,12,Italy,Cybertruck,Electric,Electric,90083,126035,32.0,1.78,0.7,3.49,3,165
Mercedes-Benz,2019,11,USA,GLS,SUV,Electric,116707,319502,9.0,0.91,2.42,4.73,1,723
Tesla,2015,7,China,Model Y LR,Electric,Electric,126181,105928,30.0,1.19,5.72,3.57,5,1342
Ford,2017,12,Canada,Mustang,Sedan,Electric,93090,738375,,1.33,2.01,3.71,9,1684
Mercedes-Benz,2023,11,Japan,CLA,Sedan,Hybrid,62517,106687,5.0,1.6,1.54,0.14,2,
Ford,2019,9,Netherlands,Explorer,SUV,Electric,26285,92320,46.0,2.1,2.12,3.31,5,835
